id,text,label,source
79,Well we're not in Japan are we? Though if it makes it taste better then I'm all for trying,0,CSC
80,"Well we're not in Japan, so shut up",0,CSC
81,"Well, we're not in Japan.",0,CSC
82,Where did you go when you were in Japan?,0,CSC
83,"Whilst I am really interested in the culture of Japan, I'd rather just eat my f;ing food, Steve.",0,CSC
84,Why dont you tell me more about Japan?,1,CSC
85,"Yeah well, we're in England now Steve.",0,CSC
86,"Yeah well, we're not in Japan now are we?",1,CSC
87,Yeah you have told me before. I would like to visit Japan myself one day and try their way of doing things myself.,0,CSC
88,"Yeah, you told me before but I'm not Japanese.",0,CSC
89,Yes I did as I've looked into it myself we should try it this way too.,0,CSC
90,"Yes I know, you keep telling me about Japan (jokingly)",1,CSC
91,"Yes, but we're in England so I'm doing it this way.",1,CSC
92,"Yes, you always say this. Will you be going back to Japan then ?",0,CSC
93,You don't have to keep banging on about how the Japanese do things. I'm sure it was fascinating but it's starting to get old.,0,CSC
94,"You know, in the uk, people do it this way steve.",1,CSC
95,"You know, over here, they don't.",1,CSC
96,You really loved Japan by the sounds of it.,0,CSC
97,You surely know...,1,CSC
98,You've mentioned that.  Are we still going to Japan next year?,0,CSC
99,but im not in japan im in yorkshire and i do it this way,1,CSC
100,cool,1,CSC
101,did you go japan?,1,CSC
102,hahaha,0,CSC
103,interesting,1,CSC
104,is that right?,0,CSC
105,nothing i''d jsut ignore it,0,CSC
106,oh really Steve have you been to Japan before? Really? I didn't know that already...,1,CSC
107,oh yeh thats cool,0,CSC
108,okay,0,CSC
109,please tell me more if you know so much about japan,1,CSC
110,that's cool,0,CSC
111,that's great but we are not in Japan..,1,CSC
112,that's interesting how different the culture is,0,CSC
113,thats cool,1,CSC
114,thats interesting. still want to go to japan at some point in my life,0,CSC
115,then why don't you fuck off back there.,0,CSC
116,well go live there then,1,CSC
117,well why don't you go and live in japan then,0,CSC
118,"well, you know in England, people do it this way!",1,CSC
119,when I am next in Japan I will be sure to do it that way then,1,CSC
120,"wow, I did not know that, you loved being in Japan didn't you?  Do you have any plans to go back?  Is there any way to get a secondment to the Japan office?  I think you really thrived over there. Maybe you should think about it while you are still young.",0,CSC
121,yeah i know man i like japanese stuff too,0,CSC
122,yes you have mentioned that before,0,CSC
123,you don't say ?  I never heard that,1,CSC
124,you should have stayed in japan,1,CSC
125,you should head back to japan,1,CSC
126,"Ah I felt like I had to for the job. It sucks though, doesn't it?",0,CSC
127,Because I don't want to lose my job.,0,CSC
128,"Because I felt like I had to , you know what its like",0,CSC
129,"Because I want to get on my bosses good side, I see you doing quite a few jobs, is it for the same reason.",0,CSC
130,"Because I wanted to be a team player steve, Why do you do all that extra work for your boss?",0,CSC
131,"Because I'm a sucker, that's why.",0,CSC
132,Because I'm just a yes person and i need to learn to say no,0,CSC
133,Because he's my boss but it's not something I should be doing. A bit like all the tasks you're doing which you shouldn't be too.,0,CSC
134,"Because he's my boss, don't you do the same all the time?",0,CSC
135,Because i felt pressured to do it by my boss.,0,CSC
136,Because i want an easy life.,0,CSC
137,"Because its the boss and sometimes its scary to say no to them, just incase it looks bad on me. Also you do it all the time Steve!",0,CSC
138,Because there was no way for me to decline without giving off a negative perception,0,CSC
139,Because they're my boss. Why do you say yes to yours?,0,CSC
140,But doesn't your boss do the same to you? I suppose we don't have much choice in the matter.,0,CSC
141,Can't risk losing my job because of something like this man.,0,CSC
142,"Caught in the moment I guess , you do it too though right? Why do you do it?",0,CSC
143,"Cause he's the boss and I do what he says, you'd do the same.",0,CSC
144,"Change of scenery, better than work, stay on the right side of the boss. Why do you do it?",0,CSC
145,Did I have a choice?,0,CSC
146,Didn't have much choice did I?,0,CSC
147,Don't you do the same thing?,0,CSC
148,Dont know,0,CSC
149,Dont know i just did,0,CSC
150,Easy life I guess,0,CSC
151,Erm because I learned from the best!,1,CSC
152,Felt pressure to,0,CSC
153,For probably the same reasons you always say yes to your boss,1,CSC
154,For the same reason that you say yes.  I feel I have to.,0,CSC
155,He was my boss and I felt obliged.,0,CSC
156,"He's my boss! I need the job. What am I going to do, tell him to jam it? I put one foot wrong, he'll find a reason to throw me out on my ass.",0,CSC
157,"He's my boss, what am I supposed to say",0,CSC
158,"I could ask you the same question, besides I don't mind that much. Rather have good standing with the boss than refuse",0,CSC
159,I did it as a favour. You should know what that's like.,1,CSC
160,I didn't feel I could say no. Are they personal errands that he asks you to do?,0,CSC
161,I didn't feel like I could say no.,0,CSC
162,"I didn't feel like i could say no, you know how it is you're always doing unwork related work for your boss.",0,CSC
163,I didn't know what else to say...,0,CSC
164,I didn't see the harm as I wasn't busy and had time. Also I was a bit worried about how it would look if I said no.,0,CSC
165,I don't know Steve. Maybe because he is my boss. Why do you say yes all the time to similar requests from your boss?,1,CSC
166,I don't know to be honest. I didn't want to get fired. Do you think I shouldn't have agreed to it?,0,CSC
167,"I don't know, I feel like I can't say no to him",0,CSC
168,"I don't know, I guess I've noticed he often asks you to run errands that aren't work-related, so I assumed it was the norm. I also just didn't want to make him angry and risk losing a promotion or something. What do you usually say when he asks you to do something that isn't work-related? What do you think I should say next time?",0,CSC
169,"I don't know, I just like to avoid conflict.",0,CSC
170,I don't know.,0,CSC
171,I don't know. I guess I'm trying to make a good impression. Why do you do it for your boss?,0,CSC
172,"I don't mind helping out once in a while but if it became a regular occurrance, I would have to say something",0,CSC
173,"I felt I had no choice Steve, you do it for your boss, so I thought it would look bad if I didn't.",0,CSC
174,I felt backed into a corner and he never normally asks. You can't say much! You do it all the time!,0,CSC
175,"I felt like I had to, how do you deal with it when it happens to you?",0,CSC
176,I felt obliged to do it.  Don't you have the same problems at your job?,0,CSC
177,"I felt obliged to do it.  In future when he asks, shall we both refuse to do these errands?",0,CSC
178,"I felt obliged to, I guess I understand why you do it.",0,CSC
179,I find it hard to say no. I guess you have the same problem.,0,CSC
180,I guess I felt I had to. You do this for your boss do you not Steve?,0,CSC
181,I guess your boss do the same to you too right ?,0,CSC
182,I have no idea?! Why do you run errands for your boss?,0,CSC
183,I have problems saying no,0,CSC
184,"I just wanted to make sure I stayed in my boss's good books, don't you do the same with your boss?",0,CSC
185,I know - it's so difficult to say no when somebody is in a position of power though.,0,CSC
186,I said yes because he is my boss and I somehow also learn that from you,0,CSC
187,I said yes because it did get me away from my desk.  But grabbing those bags isn't my job and Josh should have had to go get them.  Why do you go do things for your boss?,0,CSC
188,I suppose just to keep in his good books. why do you do it?,0,CSC
189,"I suppose, because my boss asked me, not sure why",0,CSC
190,I thought that doing a one off probably wouldn't hurt and its hard to say no to my boss. I just hope it doesnt become regular like with your boss. Why do you never say no?,0,CSC
191,I thought you always said yes?,0,CSC
192,I was stupid. first and last time I do that.,0,CSC
193,I'd rather have a new job to go to before saying no. We'll see what he does next.,0,CSC
194,"I'm following by example, steve.",1,CSC
195,"I'm not sure really, I'll get it done. I don't like letting people down",0,CSC
196,"I'm not sure, I guess I felt a little pressured as it was my boss.",0,CSC
197,"I'm not sure, didn't want to disappoint them I guess. Don't you do a lot for your boss too?",0,CSC
198,I'm worried if I don't do it things won't go well for me at work. Isn't that why you do the same for your boss?,0,CSC
199,"It's hard to say no when it's your boss... You get asked the same from time to time too, right?",0,CSC
200,"It's on one thing, no use making a fuss over it",0,CSC
201,Its the boss isn't it?,0,CSC
202,I’m not sure I wasn’t thinking straight,0,CSC
203,"Just thought I'd better keep the boss happy, same as you have to with yours",0,CSC
204,Probably the same reason you do the same for your boss,0,CSC
205,Same reason you always say yes Steve,1,CSC
206,Shut up Steve you do the same for your boss,0,CSC
207,So I don't get into his bad books.,0,CSC
208,These things happen. Easier to say yes than have an argument.,0,CSC
209,"They're my boss, I didn't feel I could say no.  And your boss does the same.",0,CSC
210,To get him off my back,0,CSC
211,Well I felt a bit obliged to but I didn't realise it was going to entail as much as it did.,0,CSC
212,"Well I felt like I had too, why do you always say yes to your boss?",0,CSC
213,Well I remember you told me you do it regularly for your boss so I thought ok I will do it this time,0,CSC
214,Well he's my boss...,0,CSC
215,"Well in kind of felt complied to do it, why do you say yes to him all the time?",0,CSC
216,Well it's not going to look good if i say no.,0,CSC
217,"Well you know what it's like at work Steve, you have to just go with the flow.",0,CSC
218,"Well, you seem to say ""yes"" all the time.  I didn't want to be singled out, you know?",0,CSC
219,Why did I say yes - I can't believe I didn't just tell him where to go as I normally would.,0,CSC
220,You always say yes as well don't you?,0,CSC
221,You did the same the other day at your work.,0,CSC
222,You do it! Why do you say yes?,0,CSC
223,"You know I can't say no to people. I really wanted to tell him where to stick it, but it wasn't a hill to die on.",0,CSC
224,because I don't want him to make life awkward. Don't you have teh same issue with your boss?,0,CSC
225,because I want a promotion.,0,CSC
226,because I'm a nice person ha ha ha,0,CSC
227,because he is the boss and don't want to risk getting on his wrong side,0,CSC
228,because he's my boss,0,CSC
229,because i felt obliged. I am telling you because you do the same thing. advise me!,0,CSC
230,because i want to,1,CSC
231,"because they are in charge i guess, it is what it is, you get it don't you? Your boss sometimes makes you do similar things",0,CSC
232,"because you bloody to extra tasks all the time, making others look bad.",0,CSC
233,cos hes the boss and didnt feel like i could say no,0,CSC
234,didnt really have a choice,0,CSC
235,hes my boss,0,CSC
236,"i dont know, i just didnt want to get on his bad side.",0,CSC
237,"i felt compelled to almost, do you feel the same?",0,CSC
238,i just have to its my boss,0,CSC
239,i said yes as you alway's do the same too so i thought its normal,0,CSC
240,"i was mentioning it to you as I realise, you are doing the same for your boss so was hoping for some guidance",0,CSC
241,i was trying to help you out,0,CSC
242,i'd explain that i didn't feel like I had the option.  why does he feel like he should?,0,CSC
243,it's a one time thing and your boss always tells you to run errands like that,0,CSC
244,nothing,0,CSC
245,peer pressure,0,CSC
246,probably the same reason you say yes to your boss when he asks the same of you,1,CSC
247,was just following your lead,1,CSC
248,well it wasn't too much of a hassle and i want to stay on his good side,0,CSC
249,"well you always say yes, i thought it was ok to too?",0,CSC
250,well you do it....you tell me...,0,CSC
251,"you do errands a lot for your boss, what makes you say yes?",0,CSC
252,"you know, do a favour for someone and may be one day they will return it",0,CSC
253,"youre right steve, im not sure. next time ill tell him no.",0,CSC
254,"Alright Steve as long as you got it all under control, I'm always here for a helping hand.",0,CSC
255,"Alright man, no need to raise your voice. I'm just curious that's all.",0,CSC
256,"Alright touchy, someone got out the wrong side of the bed",0,CSC
257,Alright!?!,0,CSC
258,"Alright, bit touchy there mate",0,CSC
259,"Alright, let me know if you need help.",0,CSC
260,Are you coping OK?,0,CSC
261,Are you ok Steve? Is there something I can help you with?,0,CSC
262,Calm down,0,CSC
263,"Don't over work, you're too young",0,CSC
264,"Geez, I am sorry, I was just checking.",0,CSC
265,Geez... sorry for caring man.,0,CSC
266,Haha woahhh just asking! In fact! I'd even go so far as to say the way you're snapping at me suggests otherwise hmmm?? It's alright if you're stressing about it you know? I reckon I would be.,0,CSC
267,Have I done something?,0,CSC
268,"Hey man, you need to cool off.",0,CSC
269,I was just really curious about it. Are you ok? You seem cranky these days,0,CSC
270,I was only asking mate,0,CSC
271,"I was only asking, jesus christ.",0,CSC
272,"I'm just asking, no need to be so rude.",0,CSC
273,I'm just asking. Relax.,0,CSC
274,"I'm not pressuring you, I'm just curious. You need to stop taking out whatever anxiety and stress this project is giving you out on me because it's not cool.",0,CSC
275,I'm only looking out for you.,0,CSC
276,If you say so.,0,CSC
277,Is there any way that I can help?,0,CSC
278,"Is there anything wrong because lately, you are acting strange",0,CSC
279,"Jesus man why are you being so passive aggressive? I was just asking a simple question, nobody is pressuring you.",0,CSC
280,Maybe i can help you with it.,0,CSC
281,"My friend, don't get cheeky with me, what exactly is going on in that project that gets you so worked up each time the subject arises?",0,CSC
282,"No pressure, I was just asking. What's up with you these days?",0,CSC
283,OHH ok. I was not fighting. Are you ok bro? because these days you have been a little aggressive whenever you answer me.,0,CSC
284,Oh fine tell me when you're done,0,CSC
285,"Ok dude, no need to snap, was only asking!",0,CSC
286,"Ok sorry, I'm just trying to help.",0,CSC
287,"Okay relax, I was just asking",0,CSC
288,Okay sorry I didn't mean to,0,CSC
289,"Okay, sorry I asked.",0,CSC
290,"Okay, sorry my friend l was just being a concerned friend.",0,CSC
291,"Ookay, not what I was doing but I get it. I won't ask",0,CSC
292,Relax bud before you get a stroke are you okay?,0,CSC
293,Someone is a bit touchy today. Anything i can do to help you,0,CSC
294,Sorry,0,CSC
295,What's wrong buddy?,0,CSC
296,Whatever,0,CSC
297,calm down man,0,CSC
298,jeez!! chill I am just checking?,0,CSC
299,just an innocent question,0,CSC
300,like the last time you never did it,0,CSC
301,maybe if u worked on it harder I wouldn't need to pressure you,0,CSC
302,"oh ok, i was just interested",0,CSC
303,ok calm down,0,CSC
304,ok chill,0,CSC
305,"ok take your time, but focus and get it right",0,CSC
306,"ok, just make sure it is done",0,CSC
307,"okay that's fine, you take your time",0,CSC
308,okay..I'm just tryna help,0,CSC
309,soooorrrreeeee,1,CSC
310,"sounds like that project has you stressed out, can i help in anyway?",0,CSC
311,"they are a little tense, calm down",0,CSC
312,"you don't have to get snappy at me, I'm just looking out for you",0,CSC
313,you need better time management,0,CSC
314,"Ah Steve, less of the stops.",0,CSC
315,Are you OK? Do we need to pull over? You're driving a bit dangerously mate,0,CSC
316,Are you drunk or something? I know you're shit at driving but you do know you can stop slowly right?,0,CSC
317,Are you okay,0,CSC
318,"Are you okay, would you like me to take over?",0,CSC
319,Are you okay?,0,CSC
320,Are you okay? I think you should be more careful especially with me in the car.,0,CSC
321,"Are you trying to give me whiplash or something eh? Calm down on the breaks, I'd like to arrive in one piece.",0,CSC
322,"Bro, are you drunk or something? You'll get us killed, stop it!",0,CSC
323,Can you please stop stopping abruptly? Do you want me to drive?,0,CSC
324,"Chill bro, what's with the stops? Want me to take over for a bit?",0,CSC
325,"Come on dude, don't get us arrested.",0,CSC
326,"Damn bro, you wanna get into an accident",0,CSC
327,Do you need me to remind you which pedal is which?,1,CSC
328,"Do you want to take a little break, you feeling alright?",0,CSC
329,Everything ok? You seem a little stressed at the wheel.,0,CSC
330,Everything ok? You're scaring me with the stopping!,0,CSC
331,Get on with it grandpa!,1,CSC
332,Hey. Steve. Do I need to drive today? are you okay?,0,CSC
333,"Hi pal, some timeout maybe, what is going on with you today, you've been driving recklessly since we started this journey?",0,CSC
334,I don't fancy a bout of whiplash thanks.,1,CSC
335,I think I will drive from now on and you can see how it's done,0,CSC
336,I think this car needs a service - it keeps on cutting out!,0,CSC
337,"I'll have whiplash by the time we get there, what are you playing at",1,CSC
338,I'm sure we'll get there sometime this year!,1,CSC
339,Is everything alright?,0,CSC
340,Is everything ok? you're driving worse than usual.,0,CSC
341,Is there something bothering you mate,0,CSC
342,Is there something that happened? are you okay?,0,CSC
343,Is there something wrong man? Do you want me to drive instead?,0,CSC
344,My friend if you don't want to drive anymore please tell me you're delaying us with your non ending stops.,0,CSC
345,"My friend, I think you need to come this side so I can drive.",0,CSC
346,Slow down before sending us to early grave,0,CSC
347,"Something bothering you, mate?",0,CSC
348,Something strange is happening do you keep on seeing dogs or cats crossing the street or the car has faulty breaks.,1,CSC
349,"Steve, are you okay, do you need me to drive?",0,CSC
350,What's up with you today?,0,CSC
351,What's up with your driving? Why are you stopping all the time?,0,CSC
352,Why do we keep on stopping? Are you ok? Are you tired? Just tell me if you want me to take over for a bit,0,CSC
353,Yo what the hell are you doing man? Why are you driving like a maniac? Either chill out or let me drive.,0,CSC
354,You better pull over and let me drive.,0,CSC
355,"You seem out of it today, what's happening?",0,CSC
356,"Your driving has gotten worse, what is happening?",0,CSC
357,are you feeling ok today?,0,CSC
358,are you okay,0,CSC
359,are you okk?,0,CSC
360,are you trying to give me whiplash,0,CSC
361,ask him to stop and I will drive from there if I feel unsafe,0,CSC
362,"get off the wheel, i am taking over",0,CSC
363,have you got a spasm in your braking leg,1,CSC
364,id like to arrive without my head going through the windshield,1,CSC
365,is everything ok,0,CSC
366,is everything ok?,0,CSC
367,is someone pressing the pause button on your car or something?,1,CSC
368,let me take over let's get there safely,0,CSC
369,loooking for a girl you saw last night at the club,1,CSC
370,"tell me what's wrong, you're driving like crazy",0,CSC
371,why are you slamming the brakes all the time,0,CSC
372,"why are you suddenly stopping and going, it isn't safe with other motorist on the street",0,CSC
373,why do you keep stopping is something wrong.,0,CSC
374,#Laughing. You look like summer dude.,0,CSC
375,(Ignores what he's wearing),0,CSC
376,Ah - it was laundry day today?,1,CSC
377,"Ah, great to see The Wiggles gave you that job!",1,CSC
378,Alright Usain Bolt?,1,CSC
379,"Am, interesting outfit Steve.  A really unusual choice.",1,CSC
380,Are you a traffic light?,1,CSC
381,Awesome sneakers dude.,0,CSC
382,"Bloody hell mate, you look like a parrot!",1,CSC
383,"Bloody hell, nice to see the Lithuanian flag has turned up at my door.",0,CSC
384,"Boy aren't you colorful today, no one won't miss seeing you come",1,CSC
385,Bro where are you going dressed  like that,1,CSC
386,"Bro, what the hell? You look like a kid from primary school.",0,CSC
387,Color blocking much?,0,CSC
388,Cool outfit!,1,CSC
389,"Did I miss something, why did you show up in all these multi-coloured attires?",1,CSC
390,Did we say we're hitting the gym?,1,CSC
391,Did you bring the ball?  The others are already waiting at the court for us!,1,CSC
392,Did you get dressed in the dark?,1,CSC
393,Did you go to a yard sale or something?,1,CSC
394,Dude you look like a traffic light.,1,CSC
395,"Dude, have you gone colour blind?",1,CSC
396,"Dude, what on earth are you wearing? More importantly where on earth do you intend to go?",0,CSC
397,Have you been taking any drugs? Are you trying to look like a traffic light or what?,0,CSC
398,"Hello, Christmas tree!",1,CSC
399,"Hello, how are you doing",0,CSC
400,Hey - how are you doing?,0,CSC
401,Hey Steve!,0,CSC
402,"Hey Steve, how's it going?",0,CSC
403,"Hey man, it's good to see you. Are you wanting to stay in?",0,CSC
404,"Hey, come in. How have you been?",0,CSC
405,"Hey, how you doing?",0,CSC
406,Hi Steve,0,CSC
407,Hi Steve! Looking colourful today!,0,CSC
408,"Hi Steve, nice outfit!!",0,CSC
409,Hi how's it going?,0,CSC
410,Hi! How are you?,0,CSC
411,"Hmm, interesting choice of outfit tonight!",1,CSC
412,How you doing Steve everything all right ?,0,CSC
413,I didn't realise it was fancy dress.,1,CSC
414,"I like the outfit, but I'm not sure which country's flag you're trying to be.",0,CSC
415,I love it!,0,CSC
416,"I say you look good, i respect everyones personal taste",0,CSC
417,I think fashion week is calling,1,CSC
418,I wouldn't say anythign in particular to this.,0,CSC
419,"If I wasn't colour-blind already I would be now. What the hell are you wearing, you look like a bag of Skittles.",0,CSC
420,Interesting choice of outfit Steve.,0,CSC
421,Interesting outfit. I like the creativity,1,CSC
422,Is it Reggae night?,1,CSC
423,"It's a good job we are staying in ! You cannot wear that out, next time facetime me or whatsapp me a pic because that clashes",1,CSC
424,Like your outfit!,1,CSC
425,"Looking colourful, are we?",0,CSC
426,Looking good Steve !,1,CSC
427,"Looking good, Steve.",0,CSC
428,Looking groovy!,0,CSC
429,"Looking vibrant dude, no coat or anything no?",0,CSC
430,Looking vibrant!,0,CSC
431,Love the bright outfit,1,CSC
432,Love the style!,1,CSC
433,Nice Outfit!,1,CSC
434,Nice bro,0,CSC
435,Nice knees!,1,CSC
436,Nice of you to make an effort buddy!,1,CSC
437,Nice outfit,1,CSC
438,Nice outfit!,1,CSC
439,"Nice outfit, love the bright colours!",0,CSC
440,Nice outfit.,1,CSC
441,"Nice sneakers, where did you get them?",1,CSC
442,Nothing,0,CSC
443,Nothing at all - that's his choice.,0,CSC
444,Nothing. It's not appropriate to comment on this.,0,CSC
445,"Oh hey, Mr Colour pop. Whats up?",1,CSC
446,"Oh my god, those colours clash!",0,CSC
447,Ohhhh man!!!1 you look amazing and colourful tonight.,0,CSC
448,Ok did I not get the memo? Is it bad taste night?,1,CSC
449,Okay traffic light,1,CSC
450,"Oooh, I love all the colors!",1,CSC
451,"Skittles, right?  Taste the rainbow?  Or are we putting on our own rave tonight?",0,CSC
452,Someone's looking colourful!,1,CSC
453,"Steve couldn't you find a better outfit to wear, What is that you're wearing?",0,CSC
454,"Steve, I can't believe you're pulling off that look. You're dressed like a traffic light and you still look better than everyone else in the room.",1,CSC
455,That's a look,1,CSC
456,That's a very adventurous outfit,1,CSC
457,That's an outfit.,1,CSC
458,The colors have vomited on you,1,CSC
459,"Think you have become colour blind Steve, are you really going out looking like that or are you just having a laugh?",1,CSC
460,This is an interesting fashion choice...,1,CSC
461,This is why I love you Steve,0,CSC
462,Those are some bright colours Steve!,0,CSC
463,To what do we owe this clash of colours?,1,CSC
464,Trendy!,1,CSC
465,Very colourful.,0,CSC
466,We going for the traffic light scheme tonight?,1,CSC
467,Well we wont lose you tonight!,1,CSC
468,Were you just at a pride event?  You almost got all the colors of the rainbow on man!,0,CSC
469,What are you wearing Steve you are too funny!,0,CSC
470,What are you wearing mate?,0,CSC
471,What are you wearing?,0,CSC
472,"What have you come as Steve, a clown!",1,CSC
473,What have you come as?,0,CSC
474,What on earth are you wearing Steve?,0,CSC
475,What the fuck,0,CSC
476,What's up with your outfit? You look awful.,0,CSC
477,Whatever you don't go out in front of traffic,1,CSC
478,When I said dress  code was casual this is not what i meant steve we cannot go out like this!,0,CSC
479,Where's the fancy dress party?  I didn't get the memo!,1,CSC
480,Where's the fancy dress party?!?,1,CSC
481,"Why are you dressed like a set of traffic lights, you plonker!",0,CSC
482,Why are you dressed like you're ready for a costume party.,0,CSC
483,"Wow Steve, that is a strong statement of a look. I hope you will be warm enough like that.",0,CSC
484,"Wow bro, you going to play basketball or something because I am down.",1,CSC
485,Wow loads of colours today Steve!,0,CSC
486,Wow steve don't you look vibrant today!,1,CSC
487,Wow you are going for the bright and colourful vibes I like it!,0,CSC
488,Wow you look colourful,0,CSC
489,Wow your very colorful tonight,1,CSC
490,"Wow, I love the outfit! Meanwhile look at me... and that's why we're such good friends, because opposites attract!",0,CSC
491,"Wow, hanging out with a traffic light tonight.",1,CSC
492,"Wow, that's a very interesting fashion choice!",1,CSC
493,"Wow, you failed to put on some effort or that is the best you can do?",1,CSC
494,"Wow, you look like a twat... nothing changes.",0,CSC
495,Wow. You are colorful tonight. What's the special occasion?,0,CSC
496,"You are not going out with me wearing like that, please go change or I will get you something better at the mall.",0,CSC
497,You are sending mixed signals. Stop. Go. Prepare to stop/Go.  Got all those bases covered huh?,1,CSC
498,You could have dressed a little more....colourful!,1,CSC
499,You did some colour blocking today,1,CSC
500,You look like a flag of a country. Why are you dressed in those colors?,1,CSC
501,You look like a lifeguard.,0,CSC
502,You look like a rainbow,0,CSC
503,"You look like a rainbow, did you get dressed in the dark, fancy a beer?",1,CSC
504,You look like a retard bro. You need a wife to dress you,0,CSC
505,You look like a traffic light,0,CSC
506,You look like an absolute twat mate,0,CSC
507,You look like the reincarnation of Jim will fix it what are you wearing,1,CSC
508,You look very colourful tonight.,1,CSC
509,You look very colourful.,1,CSC
510,You'll certainly get noticed in that outfit!,1,CSC
511,You're looking bright and colourful tonight!,0,CSC
512,Your outfit is nice and bright!,0,CSC
513,are you colour riot?,1,CSC
514,busy week,0,CSC
515,did you get dressed in the dark mate,1,CSC
516,having the moods today,0,CSC
517,i ask him if his colour blind,1,CSC
518,i wouldnt say anything unless he asked my opinion on his clothes,0,CSC
519,interesting choice of clothing!,1,CSC
520,interesting colour choice!,1,CSC
521,interesting colour choices,1,CSC
522,interesting outfit Steve,1,CSC
523,man; you are too old for this,0,CSC
524,nice outfit,1,CSC
525,"no way, I want to keep a low profile. so no way",0,CSC
526,nothing,0,CSC
527,"nothing, i reckon that looks cool",0,CSC
528,nothing?,0,CSC
529,prada or balenciaga? looking trendy,1,CSC
530,rainbow boy,1,CSC
531,"talk about colour coordinated, you look like all the colours of the rainbow had a kid",1,CSC
